"Site","Season","Species","Total_Calls","Vegetation_percentage","Tar_road_percentage","Mean_lux","Built_up_percentage","Moon_percentage","Lux_cat_5","Lux_cat_1","Builtup_cat"
"PANO3","winter","Tad.aeg/Mop.plic",0,0,68,44,32,14.8,"High","High","built-up"
"PERU3","non-winter","PICE",27,20,40,0,0,98.5,"Low","Low","zero built-up"
"PERU3","non-winter","PITE",61,20,40,0,0,98.5,"Low","Low","zero built-up"
"PERU3","non-winter","Taph.",9,20,40,0,0,98.5,"Low","Low","zero built-up"
"PERU3","non-winter","Tad.aeg/Mop.plic",15,20,40,0,0,98.5,"Low","Low","zero built-up"
"PERU3","winter","PICE",3,20,40,1,0,14.8,"Low","High","zero built-up"
"PERU3","winter","PITE",17,20,40,1,0,14.8,"Low","High","zero built-up"
"PERU3","winter","Taph.",2,20,40,1,0,14.8,"Low","High","zero built-up"
"PERU3","winter","Tad.aeg/Mop.plic",0,20,40,1,0,14.8,"Low","High","zero built-up"
"POPA1","winter","PICE",8,0,0,14,44.6,80,"High","High","built-up"
"POPA1","winter","PITE",59,0,0,14,44.6,80,"High","High","built-up"
"POPA1","winter","Taph.",43,0,0,14,44.6,80,"High","High","built-up"
"POPA1","winter","Tad.aeg/Mop.plic",0,0,0,14,44.6,80,"High","High","built-up"
"POPA4","winter","PICE",6,0,18,6,40,80,"High","High","built-up"
"POPA4","winter","PITE",60,0,18,6,40,80,"High","High","built-up"
"POPA4","winter","Taph.",2,0,18,6,40,80,"High","High","built-up"
"POPA4","winter","Tad.aeg/Mop.plic",0,0,18,6,40,80,"High","High","built-up"
"RADI2","non-winter","PICE",0,55.24,44.76,0,0,0.5,"Low","Low","zero built-up"
"RADI2","non-winter","PITE",40,55.24,44.76,0,0,0.5,"Low","Low","zero built-up"
"RADI2","non-winter","Taph.",2,55.24,44.76,0,0,0.5,"Low","Low","zero built-up"
"RADI2","non-winter","Tad.aeg/Mop.plic",1,55.24,44.76,0,0,0.5,"Low","Low","zero built-up"
"RADI2","winter","PICE",2,55.24,44.76,5.06,0,55.1,"High","High","zero built-up"
"RADI2","winter","PITE",1,55.24,44.76,5.06,0,55.1,"High","High","zero built-up"
"RADI2","winter","Taph.",1,55.24,44.76,5.06,0,55.1,"High","High","zero built-up"
"RADI2","winter","Tad.aeg/Mop.plic",0,55.24,44.76,5.06,0,55.1,"High","High","zero built-up"
"RADI3","non-winter","PICE",5,60,40,3,0,11.5,"Low","High","zero built-up"
"RADI3","non-winter","PITE",16,60,40,3,0,11.5,"Low","High","zero built-up"
"RADI3","non-winter","Taph.",4,60,40,3,0,11.5,"Low","High","zero built-up"
"RADI3","non-winter","Tad.aeg/Mop.plic",0,60,40,3,0,11.5,"Low","High","zero built-up"
"RADI3","winter","PICE",6,60,40,13.06,0,55.1,"High","High","zero built-up"
"RADI3","winter","PITE",18,60,40,13.06,0,55.1,"High","High","zero built-up"
"RADI3","winter","Taph.",1,60,40,13.06,0,55.1,"High","High","zero built-up"
"RADI3","winter","Tad.aeg/Mop.plic",0,60,40,13.06,0,55.1,"High","High","zero built-up"
"RUBE1","non-winter","PICE",12,75,25,18.16,0,77.9,"High","High","zero built-up"
"RUBE1","non-winter","PITE",9,75,25,18.16,0,77.9,"High","High","zero built-up"
"RUBE1","non-winter","Taph.",56,75,25,18.16,0,77.9,"High","High","zero built-up"
"RUBE1","non-winter","Tad.aeg/Mop.plic",2,75,25,18.16,0,77.9,"High","High","zero built-up"
"RUBE1","winter","PICE",5,75,25,0,0,41.6,"Low","Low","zero built-up"
"RUBE1","winter","PITE",16,75,25,0,0,41.6,"Low","Low","zero built-up"
"RUBE1","winter","Taph.",10,75,25,0,0,41.6,"Low","Low","zero built-up"
"RUBE1","winter","Tad.aeg/Mop.plic",2,75,25,0,0,41.6,"Low","Low","zero built-up"
"RUBE2","non-winter","PICE",8,15,25,9.66,0,77.9,"High","High","zero built-up"
"RUBE2","non-winter","PITE",119,15,25,9.66,0,77.9,"High","High","zero built-up"
"RUBE2","non-winter","Taph.",32,15,25,9.66,0,77.9,"High","High","zero built-up"
"RUBE2","non-winter","Tad.aeg/Mop.plic",44,15,25,9.66,0,77.9,"High","High","zero built-up"
"RUBE2","winter","PICE",8,15,25,42,0,41.6,"High","High","zero built-up"
"RUBE2","winter","PITE",0,15,25,42,0,41.6,"High","High","zero built-up"
"RUBE2","winter","Taph.",8,15,25,42,0,41.6,"High","High","zero built-up"
"RUBE2","winter","Tad.aeg/Mop.plic",0,15,25,42,0,41.6,"High","High","zero built-up"
"RUGR1","non-winter","PICE",80,0,0,0,0,95.1,"Low","Low","zero built-up"
